id,account_code,account_name,account_type
135,ACCT0135,Compte numéro 135,Passif
136,ACCT0136,Compte numéro 136,Produit
137,ACCT0137,Compte numéro 137,Charge
138,ACCT0138,Compte numéro 138,Actif
139,ACCT0139,Compte numéro 139,Produit
140,ACCT0140,Compte numéro 140,Passif
141,ACCT0141,Compte numéro 141,Actif
142,ACCT0142,Compte numéro 142,Actif
143,ACCT0143,Compte numéro 143,Passif
144,ACCT0144,Compte numéro 144,Produit
145,ACCT0145,Compte numéro 145,Actif
146,ACCT0146,Compte numéro 146,Charge
147,ACCT0147,Compte numéro 147,Produit
148,ACCT0148,Compte numéro 148,Passif
149,ACCT0149,Compte numéro 149,Produit
150,ACCT0150,Compte numéro 150,Charge
151,ACCT0151,Compte numéro 151,Produit
152,ACCT0152,Compte numéro 152,Passif
153,ACCT0153,Compte numéro 153,Produit
154,ACCT0154,Compte numéro 154,Passif
155,ACCT0155,Compte numéro 155,Charge
156,ACCT0156,Compte numéro 156,Actif
157,ACCT0157,Compte numéro 157,Actif
158,ACCT0158,Compte numéro 158,Passif
159,ACCT0159,Compte numéro 159,Actif
160,ACCT0160,Compte numéro 160,Charge
161,ACCT0161,Compte numéro 161,Produit
162,ACCT0162,Compte numéro 162,Charge
163,ACCT0163,Compte numéro 163,Produit
164,ACCT0164,Compte numéro 164,Actif
165,ACCT0165,Compte numéro 165,Actif
166,ACCT0166,Compte numéro 166,Passif
167,ACCT0167,Compte numéro 167,Passif
168,ACCT0168,Compte numéro 168,Produit
169,ACCT0169,Compte numéro 169,Produit
170,ACCT0170,Compte numéro 170,Passif
171,ACCT0171,Compte numéro 171,Produit
172,ACCT0172,Compte numéro 172,Passif
173,ACCT0173,Compte numéro 173,Passif
174,ACCT0174,Compte numéro 174,Produit
175,ACCT0175,Compte numéro 175,Charge
176,ACCT0176,Compte numéro 176,Charge
177,ACCT0177,Compte numéro 177,Charge
178,ACCT0178,Compte numéro 178,Charge
179,ACCT0179,Compte numéro 179,Charge
180,ACCT0180,Compte numéro 180,Charge
181,ACCT0181,Compte numéro 181,Charge
182,ACCT0182,Compte numéro 182,Passif
183,ACCT0183,Compte numéro 183,Charge
184,ACCT0184,Compte numéro 184,Produit
185,ACCT0185,Compte numéro 185,Charge
186,ACCT0186,Compte numéro 186,Produit
187,ACCT0187,Compte numéro 187,Charge
188,ACCT0188,Compte numéro 188,Actif
189,ACCT0189,Compte numéro 189,Produit
190,ACCT0190,Compte numéro 190,Actif
191,ACCT0191,Compte numéro 191,Actif
192,ACCT0192,Compte numéro 192,Charge
193,ACCT0193,Compte numéro 193,Actif
194,ACCT0194,Compte numéro 194,Passif
195,ACCT0195,Compte numéro 195,Passif
196,ACCT0196,Compte numéro 196,Produit
197,ACCT0197,Compte numéro 197,Produit
198,ACCT0198,Compte numéro 198,Charge
199,ACCT0199,Compte numéro 199,Passif
200,ACCT0200,Compte numéro 200,Actif
201,ACCT0201,Compte numéro 201,Charge
202,ACCT0202,Compte numéro 202,Charge
203,ACCT0203,Compte numéro 203,Produit
204,ACCT0204,Compte numéro 204,Charge
205,ACCT0205,Compte numéro 205,Produit
206,ACCT0206,Compte numéro 206,Passif
207,ACCT0207,Compte numéro 207,Passif
208,ACCT0208,Compte numéro 208,Produit
209,ACCT0209,Compte numéro 209,Passif
210,ACCT0210,Compte numéro 210,Produit
211,ACCT0211,Compte numéro 211,Charge
212,ACCT0212,Compte numéro 212,Produit
213,ACCT0213,Compte numéro 213,Produit
214,ACCT0214,Compte numéro 214,Actif
215,ACCT0215,Compte numéro 215,Charge
216,ACCT0216,Compte numéro 216,Actif
217,ACCT0217,Compte numéro 217,Actif
218,ACCT0218,Compte numéro 218,Actif
219,ACCT0219,Compte numéro 219,Actif
220,ACCT0220,Compte numéro 220,Actif
221,ACCT0221,Compte numéro 221,Produit
222,ACCT0222,Compte numéro 222,Actif
223,ACCT0223,Compte numéro 223,Produit
224,ACCT0224,Compte numéro 224,Passif
225,ACCT0225,Compte numéro 225,Charge
226,ACCT0226,Compte numéro 226,Charge
227,ACCT0227,Compte numéro 227,Actif
228,ACCT0228,Compte numéro 228,Produit
229,ACCT0229,Compte numéro 229,Produit
230,ACCT0230,Compte numéro 230,Charge
231,ACCT0231,Compte numéro 231,Charge
232,ACCT0232,Compte numéro 232,Actif
233,ACCT0233,Compte numéro 233,Produit
234,ACCT0234,Compte numéro 234,Produit
235,ACCT0235,Compte numéro 235,Actif
236,ACCT0236,Compte numéro 236,Charge
237,ACCT0237,Compte numéro 237,Produit
238,ACCT0238,Compte numéro 238,Produit
239,ACCT0239,Compte numéro 239,Produit
240,ACCT0240,Compte numéro 240,Passif
241,ACCT0241,Compte numéro 241,Produit
242,ACCT0242,Compte numéro 242,Charge
243,ACCT0243,Compte numéro 243,Charge
244,ACCT0244,Compte numéro 244,Passif
245,ACCT0245,Compte numéro 245,Charge
246,ACCT0246,Compte numéro 246,Passif
247,ACCT0247,Compte numéro 247,Produit
248,ACCT0248,Compte numéro 248,Produit
249,ACCT0249,Compte numéro 249,Charge
250,ACCT0250,Compte numéro 250,Produit
251,ACCT0251,Compte numéro 251,Passif
252,ACCT0252,Compte numéro 252,Passif
253,ACCT0253,Compte numéro 253,Actif
254,ACCT0254,Compte numéro 254,Produit
255,ACCT0255,Compte numéro 255,Passif
256,ACCT0256,Compte numéro 256,Charge
257,ACCT0257,Compte numéro 257,Passif
258,ACCT0258,Compte numéro 258,Passif
259,ACCT0259,Compte numéro 259,Produit
260,ACCT0260,Compte numéro 260,Actif
261,ACCT0261,Compte numéro 261,Actif
262,ACCT0262,Compte numéro 262,Actif
263,ACCT0263,Compte numéro 263,Charge
264,ACCT0264,Compte numéro 264,Charge
265,ACCT0265,Compte numéro 265,Passif
266,ACCT0266,Compte numéro 266,Passif
267,ACCT0267,Compte numéro 267,Charge
268,ACCT0268,Compte numéro 268,Charge
269,ACCT0269,Compte numéro 269,Charge
270,ACCT0270,Compte numéro 270,Produit
271,ACCT0271,Compte numéro 271,Actif
272,ACCT0272,Compte numéro 272,Passif
273,ACCT0273,Compte numéro 273,Passif
274,ACCT0274,Compte numéro 274,Actif
275,ACCT0275,Compte numéro 275,Produit
276,ACCT0276,Compte numéro 276,Produit
277,ACCT0277,Compte numéro 277,Passif
278,ACCT0278,Compte numéro 278,Produit
279,ACCT0279,Compte numéro 279,Actif
280,ACCT0280,Compte numéro 280,Actif
281,ACCT0281,Compte numéro 281,Charge
282,ACCT0282,Compte numéro 282,Actif
283,ACCT0283,Compte numéro 283,Actif
284,ACCT0284,Compte numéro 284,Charge
285,ACCT0285,Compte numéro 285,Passif
286,ACCT0286,Compte numéro 286,Produit
287,ACCT0287,Compte numéro 287,Charge
288,ACCT0288,Compte numéro 288,Charge
289,ACCT0289,Compte numéro 289,Actif
290,ACCT0290,Compte numéro 290,Actif
291,ACCT0291,Compte numéro 291,Passif
292,ACCT0292,Compte numéro 292,Produit
293,ACCT0293,Compte numéro 293,Charge
294,ACCT0294,Compte numéro 294,Produit
295,ACCT0295,Compte numéro 295,Actif
296,ACCT0296,Compte numéro 296,Actif
297,ACCT0297,Compte numéro 297,Passif
298,ACCT0298,Compte numéro 298,Passif
299,ACCT0299,Compte numéro 299,Passif
300,ACCT0300,Compte numéro 300,Actif
301,ACCT0301,Compte numéro 301,Passif
302,ACCT0302,Compte numéro 302,Charge
303,ACCT0303,Compte numéro 303,Charge
304,ACCT0304,Compte numéro 304,Actif
305,ACCT0305,Compte numéro 305,Passif
306,ACCT0306,Compte numéro 306,Actif
307,ACCT0307,Compte numéro 307,Produit
308,ACCT0308,Compte numéro 308,Actif
309,ACCT0309,Compte numéro 309,Produit
310,ACCT0310,Compte numéro 310,Passif
311,ACCT0311,Compte numéro 311,Passif
312,ACCT0312,Compte numéro 312,Actif
313,ACCT0313,Compte numéro 313,Charge
314,ACCT0314,Compte numéro 314,Charge
315,ACCT0315,Compte numéro 315,Produit
316,ACCT0316,Compte numéro 316,Charge
317,ACCT0317,Compte numéro 317,Produit
318,ACCT0318,Compte numéro 318,Passif
319,ACCT0319,Compte numéro 319,Produit
320,ACCT0320,Compte numéro 320,Passif
321,ACCT0321,Compte numéro 321,Actif
322,ACCT0322,Compte numéro 322,Passif
323,ACCT0323,Compte numéro 323,Charge
324,ACCT0324,Compte numéro 324,Passif
325,ACCT0325,Compte numéro 325,Produit
326,ACCT0326,Compte numéro 326,Passif
327,ACCT0327,Compte numéro 327,Charge
328,ACCT0328,Compte numéro 328,Produit
329,ACCT0329,Compte numéro 329,Actif
330,ACCT0330,Compte numéro 330,Charge
331,ACCT0331,Compte numéro 331,Passif
332,ACCT0332,Compte numéro 332,Charge
333,ACCT0333,Compte numéro 333,Charge
334,ACCT0334,Compte numéro 334,Passif
335,ACCT0335,Compte numéro 335,Produit
336,ACCT0336,Compte numéro 336,Actif
337,ACCT0337,Compte numéro 337,Charge
338,ACCT0338,Compte numéro 338,Actif
339,ACCT0339,Compte numéro 339,Charge
340,ACCT0340,Compte numéro 340,Passif
341,ACCT0341,Compte numéro 341,Actif
342,ACCT0342,Compte numéro 342,Actif
343,ACCT0343,Compte numéro 343,Charge
344,ACCT0344,Compte numéro 344,Actif
345,ACCT0345,Compte numéro 345,Actif
346,ACCT0346,Compte numéro 346,Actif
347,ACCT0347,Compte numéro 347,Actif
348,ACCT0348,Compte numéro 348,Actif
349,ACCT0349,Compte numéro 349,Passif
350,ACCT0350,Compte numéro 350,Produit
351,ACCT0351,Compte numéro 351,Produit
352,ACCT0352,Compte numéro 352,Charge
353,ACCT0353,Compte numéro 353,Passif
354,ACCT0354,Compte numéro 354,Produit
355,ACCT0355,Compte numéro 355,Actif
356,ACCT0356,Compte numéro 356,Charge
357,ACCT0357,Compte numéro 357,Passif
358,ACCT0358,Compte numéro 358,Charge
359,ACCT0359,Compte numéro 359,Passif
360,ACCT0360,Compte numéro 360,Produit
361,ACCT0361,Compte numéro 361,Charge
362,ACCT0362,Compte numéro 362,Actif
363,ACCT0363,Compte numéro 363,Charge
364,ACCT0364,Compte numéro 364,Produit
365,ACCT0365,Compte numéro 365,Passif
366,ACCT0366,Compte numéro 366,Charge
367,ACCT0367,Compte numéro 367,Charge
368,ACCT0368,Compte numéro 368,Charge
369,ACCT0369,Compte numéro 369,Charge
370,ACCT0370,Compte numéro 370,Produit
371,ACCT0371,Compte numéro 371,Produit
372,ACCT0372,Compte numéro 372,Produit
373,ACCT0373,Compte numéro 373,Charge
374,ACCT0374,Compte numéro 374,Actif
375,ACCT0375,Compte numéro 375,Charge
376,ACCT0376,Compte numéro 376,Charge
377,ACCT0377,Compte numéro 377,Passif
378,ACCT0378,Compte numéro 378,Actif
379,ACCT0379,Compte numéro 379,Charge
380,ACCT0380,Compte numéro 380,Produit
381,ACCT0381,Compte numéro 381,Actif
382,ACCT0382,Compte numéro 382,Actif
383,ACCT0383,Compte numéro 383,Charge
384,ACCT0384,Compte numéro 384,Passif
385,ACCT0385,Compte numéro 385,Passif
386,ACCT0386,Compte numéro 386,Produit
387,ACCT0387,Compte numéro 387,Charge
388,ACCT0388,Compte numéro 388,Passif
389,ACCT0389,Compte numéro 389,Passif
390,ACCT0390,Compte numéro 390,Produit
391,ACCT0391,Compte numéro 391,Actif
392,ACCT0392,Compte numéro 392,Passif
393,ACCT0393,Compte numéro 393,Passif
394,ACCT0394,Compte numéro 394,Actif
395,ACCT0395,Compte numéro 395,Produit
396,ACCT0396,Compte numéro 396,Actif
397,ACCT0397,Compte numéro 397,Produit
398,ACCT0398,Compte numéro 398,Passif
399,ACCT0399,Compte numéro 399,Actif
400,ACCT0400,Compte numéro 400,Actif
401,ACCT0401,Compte numéro 401,Produit
402,ACCT0402,Compte numéro 402,Actif
403,ACCT0403,Compte numéro 403,Produit
404,ACCT0404,Compte numéro 404,Passif
405,ACCT0405,Compte numéro 405,Actif
406,ACCT0406,Compte numéro 406,Produit
407,ACCT0407,Compte numéro 407,Passif
408,ACCT0408,Compte numéro 408,Charge
409,ACCT0409,Compte numéro 409,Produit
410,ACCT0410,Compte numéro 410,Charge
411,ACCT0411,Compte numéro 411,Produit
412,ACCT0412,Compte numéro 412,Produit
413,ACCT0413,Compte numéro 413,Passif
414,ACCT0414,Compte numéro 414,Actif
415,ACCT0415,Compte numéro 415,Produit
416,ACCT0416,Compte numéro 416,Produit
417,ACCT0417,Compte numéro 417,Passif
418,ACCT0418,Compte numéro 418,Passif
419,ACCT0419,Compte numéro 419,Actif
420,ACCT0420,Compte numéro 420,Produit
421,ACCT0421,Compte numéro 421,Actif
422,ACCT0422,Compte numéro 422,Charge
423,ACCT0423,Compte numéro 423,Charge
424,ACCT0424,Compte numéro 424,Charge
425,ACCT0425,Compte numéro 425,Passif
426,ACCT0426,Compte numéro 426,Charge
427,ACCT0427,Compte numéro 427,Passif
428,ACCT0428,Compte numéro 428,Passif
429,ACCT0429,Compte numéro 429,Passif
430,ACCT0430,Compte numéro 430,Passif
431,ACCT0431,Compte numéro 431,Actif
432,ACCT0432,Compte numéro 432,Actif
433,ACCT0433,Compte numéro 433,Charge
434,ACCT0434,Compte numéro 434,Actif
435,ACCT0435,Compte numéro 435,Produit
436,ACCT0436,Compte numéro 436,Charge
437,ACCT0437,Compte numéro 437,Charge
438,ACCT0438,Compte numéro 438,Passif
439,ACCT0439,Compte numéro 439,Passif
440,ACCT0440,Compte numéro 440,Actif
441,ACCT0441,Compte numéro 441,Charge
442,ACCT0442,Compte numéro 442,Passif
443,ACCT0443,Compte numéro 443,Passif
444,ACCT0444,Compte numéro 444,Passif
445,ACCT0445,Compte numéro 445,Charge
446,ACCT0446,Compte numéro 446,Actif
447,ACCT0447,Compte numéro 447,Produit
448,ACCT0448,Compte numéro 448,Passif
449,ACCT0449,Compte numéro 449,Charge
450,ACCT0450,Compte numéro 450,Actif
451,ACCT0451,Compte numéro 451,Passif
452,ACCT0452,Compte numéro 452,Actif
453,ACCT0453,Compte numéro 453,Produit
454,ACCT0454,Compte numéro 454,Actif
455,ACCT0455,Compte numéro 455,Charge
456,ACCT0456,Compte numéro 456,Passif
457,ACCT0457,Compte numéro 457,Actif
458,ACCT0458,Compte numéro 458,Produit
459,ACCT0459,Compte numéro 459,Passif
460,ACCT0460,Compte numéro 460,Passif
461,ACCT0461,Compte numéro 461,Actif
462,ACCT0462,Compte numéro 462,Charge
463,ACCT0463,Compte numéro 463,Passif
464,ACCT0464,Compte numéro 464,Produit
465,ACCT0465,Compte numéro 465,Charge
466,ACCT0466,Compte numéro 466,Charge
467,ACCT0467,Compte numéro 467,Passif
468,ACCT0468,Compte numéro 468,Produit
469,ACCT0469,Compte numéro 469,Actif
470,ACCT0470,Compte numéro 470,Actif
471,ACCT0471,Compte numéro 471,Charge
472,ACCT0472,Compte numéro 472,Passif
473,ACCT0473,Compte numéro 473,Passif
474,ACCT0474,Compte numéro 474,Actif
475,ACCT0475,Compte numéro 475,Actif
476,ACCT0476,Compte numéro 476,Charge
477,ACCT0477,Compte numéro 477,Charge
478,ACCT0478,Compte numéro 478,Produit
479,ACCT0479,Compte numéro 479,Actif
480,ACCT0480,Compte numéro 480,Charge
481,ACCT0481,Compte numéro 481,Produit
482,ACCT0482,Compte numéro 482,Produit
483,ACCT0483,Compte numéro 483,Passif
484,ACCT0484,Compte numéro 484,Charge
485,ACCT0485,Compte numéro 485,Passif
486,ACCT0486,Compte numéro 486,Passif
487,ACCT0487,Compte numéro 487,Produit
488,ACCT0488,Compte numéro 488,Charge
489,ACCT0489,Compte numéro 489,Produit
490,ACCT0490,Compte numéro 490,Charge
491,ACCT0491,Compte numéro 491,Produit
492,ACCT0492,Compte numéro 492,Produit
493,ACCT0493,Compte numéro 493,Actif
494,ACCT0494,Compte numéro 494,Charge
495,ACCT0495,Compte numéro 495,Actif
496,ACCT0496,Compte numéro 496,Passif
497,ACCT0497,Compte numéro 497,Charge
498,ACCT0498,Compte numéro 498,Actif
499,ACCT0499,Compte numéro 499,Produit
500,ACCT0500,Compte numéro 500,Passif
501,ACCT0501,Compte numéro 501,Produit
502,ACCT0502,Compte numéro 502,Produit
503,ACCT0503,Compte numéro 503,Charge
504,ACCT0504,Compte numéro 504,Passif
505,ACCT0505,Compte numéro 505,Passif
506,ACCT0506,Compte numéro 506,Actif
507,ACCT0507,Compte numéro 507,Charge
508,ACCT0508,Compte numéro 508,Produit
509,ACCT0509,Compte numéro 509,Passif
510,ACCT0510,Compte numéro 510,Produit
511,ACCT0511,Compte numéro 511,Produit
512,ACCT0512,Compte numéro 512,Actif
513,ACCT0513,Compte numéro 513,Charge
514,ACCT0514,Compte numéro 514,Actif
515,ACCT0515,Compte numéro 515,Passif
516,ACCT0516,Compte numéro 516,Passif
517,ACCT0517,Compte numéro 517,Actif
518,ACCT0518,Compte numéro 518,Passif
519,ACCT0519,Compte numéro 519,Passif
520,ACCT0520,Compte numéro 520,Charge
521,ACCT0521,Compte numéro 521,Charge
522,ACCT0522,Compte numéro 522,Passif
523,ACCT0523,Compte numéro 523,Passif
524,ACCT0524,Compte numéro 524,Passif
525,ACCT0525,Compte numéro 525,Passif
526,ACCT0526,Compte numéro 526,Actif
527,ACCT0527,Compte numéro 527,Charge
528,ACCT0528,Compte numéro 528,Actif
529,ACCT0529,Compte numéro 529,Passif
530,ACCT0530,Compte numéro 530,Passif
531,ACCT0531,Compte numéro 531,Charge
532,ACCT0532,Compte numéro 532,Passif
533,ACCT0533,Compte numéro 533,Actif
534,ACCT0534,Compte numéro 534,Passif
535,ACCT0535,Compte numéro 535,Actif
536,ACCT0536,Compte numéro 536,Produit
537,ACCT0537,Compte numéro 537,Actif
538,ACCT0538,Compte numéro 538,Actif
539,ACCT0539,Compte numéro 539,Passif
540,ACCT0540,Compte numéro 540,Actif
541,ACCT0541,Compte numéro 541,Actif
542,ACCT0542,Compte numéro 542,Charge
543,ACCT0543,Compte numéro 543,Charge
544,ACCT0544,Compte numéro 544,Charge
545,ACCT0545,Compte numéro 545,Produit
546,ACCT0546,Compte numéro 546,Passif
547,ACCT0547,Compte numéro 547,Charge
548,ACCT0548,Compte numéro 548,Charge
549,ACCT0549,Compte numéro 549,Passif
550,ACCT0550,Compte numéro 550,Charge
551,ACCT0551,Compte numéro 551,Passif
552,ACCT0552,Compte numéro 552,Passif
553,ACCT0553,Compte numéro 553,Passif
554,ACCT0554,Compte numéro 554,Actif
555,ACCT0555,Compte numéro 555,Produit
556,ACCT0556,Compte numéro 556,Charge
557,ACCT0557,Compte numéro 557,Passif
558,ACCT0558,Compte numéro 558,Charge
559,ACCT0559,Compte numéro 559,Charge
560,ACCT0560,Compte numéro 560,Charge
561,ACCT0561,Compte numéro 561,Actif
562,ACCT0562,Compte numéro 562,Charge
563,ACCT0563,Compte numéro 563,Passif
564,ACCT0564,Compte numéro 564,Produit
565,ACCT0565,Compte numéro 565,Charge
566,ACCT0566,Compte numéro 566,Passif
567,ACCT0567,Compte numéro 567,Produit
568,ACCT0568,Compte numéro 568,Charge
569,ACCT0569,Compte numéro 569,Produit
570,ACCT0570,Compte numéro 570,Passif
571,ACCT0571,Compte numéro 571,Actif
572,ACCT0572,Compte numéro 572,Charge
573,ACCT0573,Compte numéro 573,Produit
574,ACCT0574,Compte numéro 574,Produit
575,ACCT0575,Compte numéro 575,Produit
576,ACCT0576,Compte numéro 576,Actif
577,ACCT0577,Compte numéro 577,Charge
578,ACCT0578,Compte numéro 578,Passif
579,ACCT0579,Compte numéro 579,Charge
580,ACCT0580,Compte numéro 580,Charge
581,ACCT0581,Compte numéro 581,Produit
582,ACCT0582,Compte numéro 582,Charge
583,ACCT0583,Compte numéro 583,Passif
584,ACCT0584,Compte numéro 584,Passif
585,ACCT0585,Compte numéro 585,Actif
586,ACCT0586,Compte numéro 586,Actif
587,ACCT0587,Compte numéro 587,Passif
588,ACCT0588,Compte numéro 588,Passif
589,ACCT0589,Compte numéro 589,Actif
590,ACCT0590,Compte numéro 590,Produit
591,ACCT0591,Compte numéro 591,Produit
592,ACCT0592,Compte numéro 592,Passif
593,ACCT0593,Compte numéro 593,Passif
594,ACCT0594,Compte numéro 594,Produit
595,ACCT0595,Compte numéro 595,Passif
596,ACCT0596,Compte numéro 596,Passif
597,ACCT0597,Compte numéro 597,Passif
598,ACCT0598,Compte numéro 598,Actif
599,ACCT0599,Compte numéro 599,Actif
600,ACCT0600,Compte numéro 600,Passif
601,ACCT0601,Compte numéro 601,Produit
602,ACCT0602,Compte numéro 602,Passif
603,ACCT0603,Compte numéro 603,Charge
604,ACCT0604,Compte numéro 604,Passif
605,ACCT0605,Compte numéro 605,Charge
606,ACCT0606,Compte numéro 606,Actif
607,ACCT0607,Compte numéro 607,Actif
608,ACCT0608,Compte numéro 608,Charge
609,ACCT0609,Compte numéro 609,Charge
610,ACCT0610,Compte numéro 610,Passif
611,ACCT0611,Compte numéro 611,Actif
612,ACCT0612,Compte numéro 612,Charge
613,ACCT0613,Compte numéro 613,Produit
614,ACCT0614,Compte numéro 614,Charge
615,ACCT0615,Compte numéro 615,Produit
616,ACCT0616,Compte numéro 616,Produit
617,ACCT0617,Compte numéro 617,Passif
618,ACCT0618,Compte numéro 618,Passif
619,ACCT0619,Compte numéro 619,Actif
620,ACCT0620,Compte numéro 620,Charge
621,ACCT0621,Compte numéro 621,Passif
622,ACCT0622,Compte numéro 622,Passif
623,ACCT0623,Compte numéro 623,Passif
624,ACCT0624,Compte numéro 624,Charge
625,ACCT0625,Compte numéro 625,Passif
626,ACCT0626,Compte numéro 626,Actif
627,ACCT0627,Compte numéro 627,Charge
628,ACCT0628,Compte numéro 628,Charge
629,ACCT0629,Compte numéro 629,Passif
630,ACCT0630,Compte numéro 630,Actif
631,ACCT0631,Compte numéro 631,Actif
632,ACCT0632,Compte numéro 632,Produit
633,ACCT0633,Compte numéro 633,Charge
634,ACCT0634,Compte numéro 634,Actif
