entry_date,account_id,description,debit,credit
2023-06-21,2275,Ecriture automatique 74,992.92,0
2023-02-17,2761,Ecriture automatique 75,111.42,0
2023-08-31,3697,Ecriture automatique 76,0,503.0
2023-10-26,3715,Ecriture automatique 77,0,480.64
2023-01-30,1878,Ecriture automatique 78,0,207.83
2023-09-23,1343,Ecriture automatique 79,0,900.24
2023-08-18,324,Ecriture automatique 80,619.77,0
2023-05-17,486,Ecriture automatique 81,815.96,0
2023-01-17,1678,Ecriture automatique 82,27.73,0
2023-02-25,1737,Ecriture automatique 83,0,812.24
2023-10-15,456,Ecriture automatique 84,461.83,0
2023-03-07,4962,Ecriture automatique 85,995.55,0
2023-05-10,1392,Ecriture automatique 86,586.54,0
2023-05-29,1916,Ecriture automatique 87,0,832.54
2023-05-31,2529,Ecriture automatique 88,330.41,0
2023-07-20,4336,Ecriture automatique 89,882.0,0
2023-07-12,625,Ecriture automatique 90,0,761.05
2023-05-30,3764,Ecriture automatique 91,519.59,0
2023-08-14,1899,Ecriture automatique 92,0,412.79
2023-07-24,4142,Ecriture automatique 93,409.69,0
2023-10-12,392,Ecriture automatique 94,77.26,0
2023-08-28,1292,Ecriture automatique 95,116.62,0
2023-02-14,2155,Ecriture automatique 96,0,202.86
2023-05-08,4518,Ecriture automatique 97,0,771.94
2023-11-16,3764,Ecriture automatique 98,309.55,0
2023-01-26,3660,Ecriture automatique 99,0,430.47
2023-03-17,228,Ecriture automatique 100,0,683.82
2023-12-26,2041,Ecriture automatique 101,0,10.86
2023-11-23,1688,Ecriture automatique 102,0,689.72
2023-12-08,2114,Ecriture automatique 103,0,359.44
2023-10-05,3253,Ecriture automatique 104,912.62,0
2023-12-24,3073,Ecriture automatique 105,0,949.07
2023-03-15,910,Ecriture automatique 106,0,316.69
2023-06-21,422,Ecriture automatique 107,744.24,0
2023-08-27,2055,Ecriture automatique 108,10.89,0
2023-09-30,1564,Ecriture automatique 109,0,184.11
2023-10-06,1939,Ecriture automatique 110,0,973.91
2023-01-23,3290,Ecriture automatique 111,110.68,0
2023-10-16,4993,Ecriture automatique 112,699.11,0
2023-03-24,1371,Ecriture automatique 113,0,360.34
2023-01-10,1447,Ecriture automatique 114,0,68.93
2023-10-12,4937,Ecriture automatique 115,898.5,0
2023-11-01,2531,Ecriture automatique 116,0,423.93
2023-10-16,727,Ecriture automatique 117,0,422.93
2023-01-24,2946,Ecriture automatique 118,0,193.09
2023-08-25,1351,Ecriture automatique 119,319.76,0
2023-08-31,435,Ecriture automatique 120,0,346.17
2023-01-24,1792,Ecriture automatique 121,621.6,0
2023-10-30,2188,Ecriture automatique 122,560.07,0
2023-02-19,2380,Ecriture automatique 123,0,10.47
2023-09-21,995,Ecriture automatique 124,0,993.56
2023-12-22,4495,Ecriture automatique 125,0,399.31
2023-11-15,2796,Ecriture automatique 126,536.3,0
2023-09-13,3731,Ecriture automatique 127,0,78.59
2023-02-26,3739,Ecriture automatique 128,0,558.63
2023-11-20,2597,Ecriture automatique 129,0,126.04
2023-09-03,2772,Ecriture automatique 130,0,67.29
2023-12-03,746,Ecriture automatique 131,0,779.35
2023-09-16,1840,Ecriture automatique 132,879.91,0
2023-06-01,2050,Ecriture automatique 133,538.84,0
2023-05-04,722,Ecriture automatique 134,0,182.28
2023-11-13,3654,Ecriture automatique 135,882.97,0
2023-11-19,2619,Ecriture automatique 136,394.08,0
2023-02-24,3360,Ecriture automatique 137,0,270.74
2023-03-20,1128,Ecriture automatique 138,942.87,0
2023-04-16,801,Ecriture automatique 139,289.67,0
2023-11-29,202,Ecriture automatique 140,196.2,0
2023-03-07,4955,Ecriture automatique 141,0,190.65
2023-01-22,3070,Ecriture automatique 142,682.7,0
2023-10-16,4329,Ecriture automatique 143,588.42,0
2023-04-02,1297,Ecriture automatique 144,0,138.71
2023-12-14,4504,Ecriture automatique 145,0,729.21
2023-08-01,2794,Ecriture automatique 146,251.14,0
2023-06-23,3479,Ecriture automatique 147,0,669.1
2023-09-24,597,Ecriture automatique 148,276.78,0
2023-09-23,2357,Ecriture automatique 149,0,949.19
2023-06-04,2075,Ecriture automatique 150,0,942.61
2023-10-20,2858,Ecriture automatique 151,0,321.73
2023-11-29,1777,Ecriture automatique 152,0,811.97
2023-08-10,2680,Ecriture automatique 153,0,748.15
2023-03-11,13,Ecriture automatique 154,0,842.79
2023-07-29,4588,Ecriture automatique 155,0,652.37
2023-09-15,2786,Ecriture automatique 156,0,80.28
2023-04-26,3025,Ecriture automatique 157,0,502.31
2023-02-21,2759,Ecriture automatique 158,0,94.2
2023-09-02,2163,Ecriture automatique 159,0,810.14
2023-02-14,612,Ecriture automatique 160,0,529.94
2023-11-12,4071,Ecriture automatique 161,0,526.38
2023-02-01,2325,Ecriture automatique 162,804.4,0
2023-04-22,2644,Ecriture automatique 163,295.23,0
2023-10-22,106,Ecriture automatique 164,0,29.18
2023-07-21,3946,Ecriture automatique 165,0,116.76
2023-08-12,790,Ecriture automatique 166,641.4,0
2023-03-05,3958,Ecriture automatique 167,0,991.93
2023-07-02,42,Ecriture automatique 168,0,716.55
2023-10-08,3892,Ecriture automatique 169,389.16,0
2023-04-19,3609,Ecriture automatique 170,0,461.8
2023-06-05,3742,Ecriture automatique 171,295.43,0
2023-04-01,722,Ecriture automatique 172,0,895.21
2023-07-12,2391,Ecriture automatique 173,0,362.67
2023-01-24,2794,Ecriture automatique 174,670.39,0
2023-08-27,2717,Ecriture automatique 175,55.45,0
2023-01-25,193,Ecriture automatique 176,0,182.38
2023-01-03,2450,Ecriture automatique 177,0,40.04
2023-08-04,433,Ecriture automatique 178,0,309.01
2023-11-19,1605,Ecriture automatique 179,0,709.69
2023-05-07,3771,Ecriture automatique 180,0,180.7
2023-07-23,4925,Ecriture automatique 181,0,917.99
2023-10-22,3946,Ecriture automatique 182,769.61,0
2023-10-02,4146,Ecriture automatique 183,0,558.22
2023-08-23,2257,Ecriture automatique 184,990.37,0
2023-09-23,2443,Ecriture automatique 185,524.58,0
2023-03-21,564,Ecriture automatique 186,513.39,0
2023-08-05,1614,Ecriture automatique 187,0,329.87
2023-12-24,4993,Ecriture automatique 188,0,541.91
2023-09-19,1769,Ecriture automatique 189,0,969.59
2023-04-01,1148,Ecriture automatique 190,560.81,0
2023-05-29,3592,Ecriture automatique 191,0,362.53
2023-08-02,4342,Ecriture automatique 192,724.62,0
2023-02-23,1845,Ecriture automatique 193,0,187.82
2023-12-14,2922,Ecriture automatique 194,732.74,0
2023-01-24,1467,Ecriture automatique 195,0,440.96
2023-06-20,2211,Ecriture automatique 196,540.48,0
2023-03-14,4462,Ecriture automatique 197,0,879.34
2023-07-08,4111,Ecriture automatique 198,372.11,0
2023-05-20,2081,Ecriture automatique 199,228.11,0
2023-01-21,3340,Ecriture automatique 200,0,837.59
2023-09-16,2168,Ecriture automatique 201,678.63,0
2023-01-29,2577,Ecriture automatique 202,0,848.18
2023-10-31,3888,Ecriture automatique 203,0,282.77
2023-03-09,4363,Ecriture automatique 204,472.82,0
2023-08-14,3321,Ecriture automatique 205,903.74,0
2023-10-04,1442,Ecriture automatique 206,0,946.83
2023-03-01,958,Ecriture automatique 207,59.22,0
2023-03-25,636,Ecriture automatique 208,0,407.9
2023-03-16,449,Ecriture automatique 209,200.83,0
2023-06-15,4592,Ecriture automatique 210,0,76.19
2023-03-27,4723,Ecriture automatique 211,0,25.51
2023-02-13,3001,Ecriture automatique 212,0,569.51
2023-02-28,1145,Ecriture automatique 213,0,822.35
2023-09-18,776,Ecriture automatique 214,947.62,0
2023-09-15,1527,Ecriture automatique 215,0,163.65
2023-12-17,1723,Ecriture automatique 216,262.91,0
2023-02-05,1564,Ecriture automatique 217,494.38,0
2023-10-07,3653,Ecriture automatique 218,0,726.99
2023-12-02,2423,Ecriture automatique 219,400.73,0
2023-05-13,2228,Ecriture automatique 220,969.32,0
2023-10-06,10,Ecriture automatique 221,14.12,0
2023-12-27,356,Ecriture automatique 222,0,70.52
2023-11-24,2792,Ecriture automatique 223,0,121.19
2023-01-28,4540,Ecriture automatique 224,0,574.97
2023-05-18,4802,Ecriture automatique 225,0,847.15
2023-03-10,4569,Ecriture automatique 226,748.77,0
2023-05-18,601,Ecriture automatique 227,0,517.49
2023-01-08,1479,Ecriture automatique 228,62.86,0
2023-04-19,2983,Ecriture automatique 229,196.68,0
2023-11-24,3364,Ecriture automatique 230,0,149.87
2023-05-26,852,Ecriture automatique 231,338.09,0
2023-01-21,2149,Ecriture automatique 232,173.1,0
2023-03-15,2596,Ecriture automatique 233,0,627.87
2023-12-04,3230,Ecriture automatique 234,0,808.62
2023-01-26,1220,Ecriture automatique 235,731.79,0
2023-12-03,3550,Ecriture automatique 236,342.54,0
2023-02-08,2798,Ecriture automatique 237,0,287.3
2023-01-03,3759,Ecriture automatique 238,0,441.98
2023-06-09,1311,Ecriture automatique 239,0,624.85
2023-06-29,4760,Ecriture automatique 240,568.18,0
2023-01-28,3188,Ecriture automatique 241,0,951.95
2023-09-05,406,Ecriture automatique 242,385.58,0
2023-08-20,2038,Ecriture automatique 243,0,143.53
2023-04-28,4699,Ecriture automatique 244,690.86,0
2023-02-15,4192,Ecriture automatique 245,960.06,0
2023-11-23,4654,Ecriture automatique 246,985.53,0
2023-04-21,4388,Ecriture automatique 247,0,277.66
2023-06-27,2092,Ecriture automatique 248,0,695.53
2023-06-24,4218,Ecriture automatique 249,44.9,0
2023-06-16,2759,Ecriture automatique 250,577.93,0
2023-04-24,4235,Ecriture automatique 251,421.37,0
2023-01-09,522,Ecriture automatique 252,130.58,0
2023-03-26,1712,Ecriture automatique 253,429.91,0
2023-06-20,1565,Ecriture automatique 254,260.53,0
2023-03-23,3403,Ecriture automatique 255,0,647.24
2023-11-04,3575,Ecriture automatique 256,0,527.42
2023-04-09,3619,Ecriture automatique 257,0,946.73
2023-02-11,1278,Ecriture automatique 258,756.28,0
2023-07-04,4241,Ecriture automatique 259,0,323.86
2023-09-05,3487,Ecriture automatique 260,0,451.86
2023-11-05,582,Ecriture automatique 261,0,792.86
2023-01-01,3118,Ecriture automatique 262,0,70.88
2023-01-12,3924,Ecriture automatique 263,0,93.45
2023-01-02,1738,Ecriture automatique 264,384.97,0
2023-02-12,814,Ecriture automatique 265,727.38,0
2023-07-31,784,Ecriture automatique 266,203.57,0
2023-10-22,4322,Ecriture automatique 267,0,45.26
2023-10-11,4861,Ecriture automatique 268,340.55,0
2023-11-21,3723,Ecriture automatique 269,873.92,0
2023-08-31,3963,Ecriture automatique 270,0,776.84
2023-01-24,3858,Ecriture automatique 271,512.02,0
2023-02-18,2105,Ecriture automatique 272,795.43,0
2023-04-04,1208,Ecriture automatique 273,561.98,0
2023-01-13,2253,Ecriture automatique 274,998.42,0
2023-03-17,1695,Ecriture automatique 275,126.87,0
2023-02-23,3028,Ecriture automatique 276,794.85,0
2023-04-26,3057,Ecriture automatique 277,0,743.59
2023-11-16,1966,Ecriture automatique 278,0,921.58
2023-01-21,1143,Ecriture automatique 279,0,616.14
2023-03-31,267,Ecriture automatique 280,0,193.21
2023-07-05,1020,Ecriture automatique 281,0,329.99
2023-01-29,3356,Ecriture automatique 282,0,828.11
2023-05-15,2283,Ecriture automatique 283,0,632.69
2023-08-29,1205,Ecriture automatique 284,0,369.61
2023-01-15,2391,Ecriture automatique 285,0,134.11
2023-07-20,4036,Ecriture automatique 286,211.37,0
2023-10-28,3671,Ecriture automatique 287,0,635.7
2023-03-18,3483,Ecriture automatique 288,0,976.72
2023-06-06,88,Ecriture automatique 289,309.09,0
2023-01-04,2882,Ecriture automatique 290,0,935.89
2023-12-18,4341,Ecriture automatique 291,0,125.71
2023-11-20,4124,Ecriture automatique 292,296.42,0
2023-04-08,3289,Ecriture automatique 293,0,675.63
2023-12-11,4694,Ecriture automatique 294,0,40.24
2023-07-05,1222,Ecriture automatique 295,0,741.36
2023-02-17,3791,Ecriture automatique 296,0,181.17
2023-01-14,1343,Ecriture automatique 297,621.34,0
2023-09-17,4597,Ecriture automatique 298,0,654.19
2023-10-22,1890,Ecriture automatique 299,245.8,0
2023-03-12,252,Ecriture automatique 300,0,433.46
2023-09-17,2874,Ecriture automatique 301,0,68.77
2023-09-13,1681,Ecriture automatique 302,0,125.62
2023-05-06,2412,Ecriture automatique 303,280.75,0
2023-05-01,4795,Ecriture automatique 304,383.19,0
2023-10-25,3333,Ecriture automatique 305,97.41,0
2023-10-21,1726,Ecriture automatique 306,530.13,0
2023-06-08,910,Ecriture automatique 307,0,667.7
2023-01-04,2544,Ecriture automatique 308,0,81.45
2023-06-01,114,Ecriture automatique 309,0,96.87
2023-05-10,1392,Ecriture automatique 310,0,605.98
2023-12-20,957,Ecriture automatique 311,0,160.33
2023-01-17,3817,Ecriture automatique 312,131.26,0
2023-09-07,2189,Ecriture automatique 313,0,246.45
2023-08-28,3700,Ecriture automatique 314,0,621.21
2023-07-31,3016,Ecriture automatique 315,0,864.19
2023-06-24,3811,Ecriture automatique 316,283.13,0
2023-06-20,2516,Ecriture automatique 317,0,775.53
2023-06-10,912,Ecriture automatique 318,0,475.35
2023-12-19,4027,Ecriture automatique 319,789.38,0
2023-11-07,2004,Ecriture automatique 320,0,571.81
2023-01-06,1882,Ecriture automatique 321,0,492.38
2023-05-11,842,Ecriture automatique 322,956.75,0
2023-09-10,2836,Ecriture automatique 323,0,397.72
2023-08-19,4724,Ecriture automatique 324,0,336.2
2023-10-07,2167,Ecriture automatique 325,382.11,0
2023-09-11,56,Ecriture automatique 326,526.16,0
2023-01-23,4451,Ecriture automatique 327,800.11,0
2023-02-21,1387,Ecriture automatique 328,0,424.25
2023-03-08,842,Ecriture automatique 329,734.37,0
2023-01-29,4939,Ecriture automatique 330,869.7,0
2023-11-11,1056,Ecriture automatique 331,0,305.95
2023-07-22,4492,Ecriture automatique 332,0,942.7
2023-04-10,4460,Ecriture automatique 333,0,259.31
2023-12-09,2161,Ecriture automatique 334,152.46,0
2023-10-04,3495,Ecriture automatique 335,552.18,0
2023-01-12,95,Ecriture automatique 336,0,253.88
2023-10-28,2088,Ecriture automatique 337,761.99,0
2023-04-27,1853,Ecriture automatique 338,0,458.59
2023-03-25,2213,Ecriture automatique 339,0,126.62
2023-03-22,2451,Ecriture automatique 340,281.39,0
2023-06-13,204,Ecriture automatique 341,857.67,0
2023-05-09,2986,Ecriture automatique 342,954.39,0
2023-09-29,2053,Ecriture automatique 343,70.03,0
2023-10-02,2085,Ecriture automatique 344,0,305.14
2023-02-27,1594,Ecriture automatique 345,519.0,0
2023-05-24,3393,Ecriture automatique 346,786.87,0
2023-04-15,4678,Ecriture automatique 347,976.11,0
2023-01-23,3604,Ecriture automatique 348,133.14,0
2023-03-31,826,Ecriture automatique 349,19.95,0
2023-06-20,472,Ecriture automatique 350,12.31,0
2023-12-12,3372,Ecriture automatique 351,0,854.81
2023-11-10,2110,Ecriture automatique 352,0,663.84
2023-02-18,2210,Ecriture automatique 353,0,510.99
2023-02-24,4849,Ecriture automatique 354,0,720.21
2023-10-23,1321,Ecriture automatique 355,255.19,0
2023-12-20,431,Ecriture automatique 356,0,340.68
2023-06-13,933,Ecriture automatique 357,0,808.95
2023-11-10,4031,Ecriture automatique 358,742.62,0
2023-12-16,3070,Ecriture automatique 359,814.55,0
2024-01-01,683,Ecriture automatique 360,0,681.68
2023-06-09,1404,Ecriture automatique 361,839.9,0
2023-02-24,4236,Ecriture automatique 362,509.35,0
2023-08-15,2308,Ecriture automatique 363,0,554.56
2023-01-19,4352,Ecriture automatique 364,143.43,0
2023-05-17,247,Ecriture automatique 365,902.58,0
2023-04-06,1542,Ecriture automatique 366,403.87,0
2023-10-29,814,Ecriture automatique 367,95.96,0
2023-09-04,3056,Ecriture automatique 368,485.08,0
2023-12-17,2466,Ecriture automatique 369,0,599.54
2023-04-30,1329,Ecriture automatique 370,0,561.19
2023-09-21,2528,Ecriture automatique 371,102.0,0
2023-12-06,2782,Ecriture automatique 372,963.76,0
2023-10-26,3292,Ecriture automatique 373,174.24,0
2023-11-11,828,Ecriture automatique 374,533.62,0
2023-06-23,4093,Ecriture automatique 375,473.42,0
2023-11-19,2973,Ecriture automatique 376,538.58,0
2023-04-01,1641,Ecriture automatique 377,357.72,0
2023-06-01,425,Ecriture automatique 378,144.6,0
2023-11-19,2434,Ecriture automatique 379,0,384.39
2023-10-31,2877,Ecriture automatique 380,567.51,0
2023-01-07,1984,Ecriture automatique 381,0,776.33
2023-04-03,1084,Ecriture automatique 382,749.29,0
2023-04-28,4491,Ecriture automatique 383,617.41,0
2023-01-29,2759,Ecriture automatique 384,0,925.24
2023-05-11,2771,Ecriture automatique 385,927.32,0
2023-07-25,4902,Ecriture automatique 386,0,973.15
2023-03-22,3135,Ecriture automatique 387,118.94,0
2023-05-27,64,Ecriture automatique 388,0,394.85
2023-02-13,1436,Ecriture automatique 389,0,69.7
2023-10-15,3239,Ecriture automatique 390,208.16,0
2023-05-09,3634,Ecriture automatique 391,0,884.17
2023-01-20,3062,Ecriture automatique 392,0,408.15
2023-02-27,707,Ecriture automatique 393,0,901.37
2023-01-11,4625,Ecriture automatique 394,0,703.58
2023-10-10,4794,Ecriture automatique 395,0,398.34
2023-11-06,3404,Ecriture automatique 396,221.33,0
2023-06-11,2148,Ecriture automatique 397,744.07,0
2023-12-15,4968,Ecriture automatique 398,894.56,0
2023-05-11,1314,Ecriture automatique 399,0,491.17
2023-10-09,4196,Ecriture automatique 400,235.78,0
2023-01-02,4089,Ecriture automatique 401,0,303.46
2023-09-24,387,Ecriture automatique 402,621.74,0
2023-01-12,1766,Ecriture automatique 403,937.79,0
2023-01-20,3003,Ecriture automatique 404,0,230.8
2023-09-29,3250,Ecriture automatique 405,0,356.51
2023-01-21,4849,Ecriture automatique 406,462.53,0
2023-07-03,3310,Ecriture automatique 407,0,197.19
2023-10-25,705,Ecriture automatique 408,850.74,0
2023-04-22,1648,Ecriture automatique 409,0,106.04
2023-04-11,4468,Ecriture automatique 410,0,647.55
2023-05-18,3106,Ecriture automatique 411,302.48,0
2023-08-20,509,Ecriture automatique 412,813.44,0
2023-08-01,1360,Ecriture automatique 413,0,153.38
2023-12-24,1177,Ecriture automatique 414,509.43,0
2023-12-27,1170,Ecriture automatique 415,0,289.24
2023-04-14,4517,Ecriture automatique 416,884.94,0
2023-09-19,466,Ecriture automatique 417,453.92,0
2023-05-13,3081,Ecriture automatique 418,0,678.39
2023-03-26,1559,Ecriture automatique 419,0,46.46
2023-12-14,4402,Ecriture automatique 420,552.13,0
2023-07-24,2061,Ecriture automatique 421,184.51,0
2023-12-21,4285,Ecriture automatique 422,0,303.55
2023-03-11,1551,Ecriture automatique 423,0,347.57
2023-02-04,2363,Ecriture automatique 424,0,393.52
2023-07-02,1612,Ecriture automatique 425,957.28,0
2023-04-24,1076,Ecriture automatique 426,75.65,0
2023-06-24,3345,Ecriture automatique 427,739.96,0
2023-06-11,3961,Ecriture automatique 428,256.52,0
2023-01-30,2019,Ecriture automatique 429,0,110.05
2023-05-11,4758,Ecriture automatique 430,0,820.99
2023-09-23,1149,Ecriture automatique 431,0,674.47
2023-10-04,2951,Ecriture automatique 432,309.76,0
2023-08-27,3548,Ecriture automatique 433,285.07,0
2023-03-02,1595,Ecriture automatique 434,0,298.48
2023-05-20,4263,Ecriture automatique 435,408.12,0
2023-11-02,2263,Ecriture automatique 436,0,427.96
2023-11-02,2384,Ecriture automatique 437,0,41.69
2023-01-13,4910,Ecriture automatique 438,723.62,0
2023-07-07,3945,Ecriture automatique 439,0,593.01
2023-03-18,4996,Ecriture automatique 440,810.58,0
2023-07-08,2495,Ecriture automatique 441,363.54,0
2023-05-11,4659,Ecriture automatique 442,820.79,0
2023-10-19,4376,Ecriture automatique 443,278.4,0
2023-09-07,4967,Ecriture automatique 444,151.73,0
2023-06-02,3207,Ecriture automatique 445,959.76,0
2023-06-02,1122,Ecriture automatique 446,0,719.21
2023-06-01,1324,Ecriture automatique 447,0,330.56
2023-11-01,1960,Ecriture automatique 448,0,838.24
2023-02-04,1068,Ecriture automatique 449,0,647.98
2023-06-11,2444,Ecriture automatique 450,897.73,0
2023-01-12,4033,Ecriture automatique 451,0,726.72
2023-10-16,3675,Ecriture automatique 452,0,659.59
2023-12-23,4056,Ecriture automatique 453,722.34,0
2023-10-22,4377,Ecriture automatique 454,0,83.19
2023-07-05,3091,Ecriture automatique 455,38.3,0
2023-10-03,2089,Ecriture automatique 456,847.81,0
2023-08-04,278,Ecriture automatique 457,0,972.1
2023-01-27,2912,Ecriture automatique 458,224.33,0
2023-08-02,2529,Ecriture automatique 459,0,82.26
2023-10-04,338,Ecriture automatique 460,0,702.92
2023-07-02,3516,Ecriture automatique 461,671.51,0
2023-08-01,3015,Ecriture automatique 462,0,694.16
2023-07-24,3267,Ecriture automatique 463,0,774.76
2023-05-23,2281,Ecriture automatique 464,211.36,0
2023-01-11,3131,Ecriture automatique 465,0,663.5
2023-06-17,3620,Ecriture automatique 466,58.27,0
2023-06-07,2299,Ecriture automatique 467,644.99,0
2023-02-24,2793,Ecriture automatique 468,0,333.44
2023-09-11,3224,Ecriture automatique 469,604.68,0
2023-08-02,3727,Ecriture automatique 470,0,446.74
2023-07-24,602,Ecriture automatique 471,0,788.54
2023-04-30,2182,Ecriture automatique 472,209.56,0
2023-12-13,4149,Ecriture automatique 473,0,545.62
2023-01-26,4766,Ecriture automatique 474,285.55,0
2023-03-18,4979,Ecriture automatique 475,0,283.03
2023-10-26,761,Ecriture automatique 476,0,930.85
2023-08-07,3586,Ecriture automatique 477,0,390.24
2023-01-13,4024,Ecriture automatique 478,302.34,0
2023-11-11,2442,Ecriture automatique 479,0,670.21
2023-02-26,911,Ecriture automatique 480,330.15,0
2023-01-26,585,Ecriture automatique 481,586.85,0
2023-09-24,4191,Ecriture automatique 482,0,413.24
2023-06-15,4080,Ecriture automatique 483,299.99,0
2023-01-15,645,Ecriture automatique 484,0,67.9
2023-02-27,3916,Ecriture automatique 485,703.09,0
2023-02-11,238,Ecriture automatique 486,804.97,0
2023-08-15,1793,Ecriture automatique 487,744.16,0
2023-03-29,1002,Ecriture automatique 488,0,502.31
2023-01-08,383,Ecriture automatique 489,872.19,0
2023-12-09,4531,Ecriture automatique 490,412.11,0
2023-02-06,349,Ecriture automatique 491,0,973.29
2023-12-19,29,Ecriture automatique 492,0,378.06
2023-05-20,3526,Ecriture automatique 493,457.81,0
2023-09-18,884,Ecriture automatique 494,960.74,0
2023-09-25,4928,Ecriture automatique 495,528.67,0
2023-02-16,2626,Ecriture automatique 496,0,99.07
2023-03-18,2927,Ecriture automatique 497,876.59,0
2023-01-15,4441,Ecriture automatique 498,0,596.05
2023-11-20,1282,Ecriture automatique 499,442.62,0
2023-04-30,4558,Ecriture automatique 500,0,974.01
2023-09-07,4444,Ecriture automatique 501,613.21,0
2023-05-30,3627,Ecriture automatique 502,357.06,0
2023-01-09,475,Ecriture automatique 503,0,911.31
2023-10-03,4415,Ecriture automatique 504,0,600.52
2023-01-24,2068,Ecriture automatique 505,0,11.97
2023-09-19,1088,Ecriture automatique 506,0,601.55
2023-07-11,1053,Ecriture automatique 507,0,511.14
2023-10-15,2135,Ecriture automatique 508,0,229.87
2023-07-28,4320,Ecriture automatique 509,0,39.29
2023-03-27,557,Ecriture automatique 510,556.66,0
2023-06-05,4112,Ecriture automatique 511,0,218.41
2023-05-30,3649,Ecriture automatique 512,0,503.19
2023-08-09,787,Ecriture automatique 513,498.91,0
2023-10-21,4387,Ecriture automatique 514,974.36,0
2023-06-18,4289,Ecriture automatique 515,0,851.13
2023-03-03,758,Ecriture automatique 516,0,860.23
2023-02-15,4464,Ecriture automatique 517,550.78,0
2023-07-06,366,Ecriture automatique 518,439.77,0
2023-08-08,3892,Ecriture automatique 519,0,764.59
